Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,"Last Trade"
105.00,+54.10%,124.25,124.83,125.40,134.70,+1.06,+0.79%,11,"3,671",-4,94.21%,0.9887,Call,"09:52 ET"
110.00,+51.91%,119.10,119.88,120.65,119.80,-10.32,-7.93%,4,"2,035",unch,86.97%,0.9894,Call,"12:52 ET"
115.00,+49.72%,114.40,114.98,115.55,121.33,unch,unch,0,"3,187",+2,86.88%,0.9853,Call,10/21/25
120.00,+47.54%,109.65,110.10,110.55,109.75,-11.53,-9.51%,1,"5,468",-9,72.94%,0.9915,Call,"11:29 ET"
125.00,+45.35%,104.65,105.20,105.75,105.85,-9.82,-8.49%,10,"5,090",+1,81.35%,0.9796,Call,"11:22 ET"
130.00,+43.17%,99.90,100.35,100.80,98.60,-12.30,-11.09%,2,"3,540",-1,79.09%,0.9756,Call,"12:32 ET"
135.00,+40.98%,95.25,95.65,96.05,96.69,-9.97,-9.35%,4,"3,604",-9,78.97%,0.9681,Call,"12:08 ET"
140.00,+38.80%,90.25,90.70,91.15,92.35,-8.35,-8.29%,46,"4,005",-10,74.59%,0.9658,Call,"10:47 ET"
145.00,+36.61%,85.45,85.93,86.40,85.15,-12.84,-13.10%,33,"2,295",-7,72.61%,0.9593,Call,"11:30 ET"
150.00,+34.42%,80.75,81.23,81.70,79.60,-12.05,-13.15%,92,"6,619",-27,71.15%,0.9508,Call,"12:32 ET"
155.00,+32.24%,76.20,76.55,76.90,77.80,-8.90,-10.27%,3,"4,606",-4,69.51%,0.9415,Call,"12:20 ET"
160.00,+30.05%,71.65,71.98,72.30,72.40,-9.75,-11.87%,22,"6,145",-2,68.31%,0.9296,Call,"12:35 ET"
165.00,+27.87%,67.10,67.43,67.75,67.80,-9.27,-12.03%,9,"6,548",-11,66.83%,0.9169,Call,"12:03 ET"
170.00,+25.68%,62.70,63.00,63.30,61.60,-11.05,-15.21%,30,"5,658",-1,65.74%,0.9013,Call,"12:32 ET"
175.00,+23.49%,58.40,58.68,58.95,58.10,-10.60,-15.43%,14,"3,244",-4,64.73%,0.8835,Call,"12:50 ET"
180.00,+21.31%,54.20,54.45,54.70,54.58,-9.07,-14.25%,45,"13,732",+7,64.39%,0.8617,Call,"12:45 ET"
185.00,+19.12%,50.10,50.33,50.55,50.52,-8.68,-14.66%,27,"4,132",-3,63.59%,0.8390,Call,"12:45 ET"
190.00,+16.94%,46.20,46.45,46.70,46.58,-8.62,-15.62%,42,"10,147",+40,62.77%,0.8141,Call,"12:45 ET"
195.00,+14.75%,42.45,42.65,42.85,42.37,-8.63,-16.92%,34,"2,922",-2,61.49%,0.7884,Call,"12:50 ET"
200.00,+12.56%,38.90,39.08,39.25,39.10,-8.20,-17.34%,303,"8,795",-60,61.11%,0.7581,Call,"12:43 ET"
210.00,+8.19%,32.35,32.43,32.50,32.10,-7.69,-19.33%,88,"8,251",-1,60.08%,0.6930,Call,"12:49 ET"
220.00,+3.82%,26.50,26.60,26.70,26.50,-7.00,-20.90%,160,"7,817",+35,59.22%,0.6222,Call,"12:51 ET"
230.00,-0.55%,21.50,21.58,21.65,21.40,-5.70,-21.03%,632,"8,311",+108,59.12%,0.5488,Call,"12:50 ET"
240.00,-4.92%,17.30,17.35,17.40,17.41,-4.89,-21.93%,473,"8,889",+132,58.96%,0.4766,Call,"12:47 ET"
250.00,-9.29%,13.75,13.83,13.90,13.75,-4.25,-23.61%,"3,670","9,091","-1,740",58.66%,0.4072,Call,"12:48 ET"
260.00,-13.67%,10.90,10.98,11.05,10.95,-3.55,-24.48%,480,"7,116",+278,58.91%,0.3446,Call,"12:52 ET"
270.00,-18.04%,8.65,8.70,8.75,8.60,-3.45,-28.63%,283,"4,360",+100,59.25%,0.2891,Call,"12:49 ET"
280.00,-22.41%,6.80,6.88,6.95,6.88,-2.72,-28.33%,154,"3,193",-1,59.58%,0.2405,Call,"12:48 ET"
290.00,-26.78%,5.40,5.45,5.50,5.40,-2.16,-28.57%,84,"3,922",-58,59.81%,0.1981,Call,"12:38 ET"
300.00,-31.15%,4.30,4.35,4.40,4.30,-1.75,-28.93%,"2,911","5,859",-81,60.38%,0.1638,Call,"12:45 ET"
310.00,-35.53%,3.40,3.45,3.50,3.35,-1.57,-31.91%,125,"2,120",+9,61.06%,0.1357,Call,"12:32 ET"
320.00,-39.90%,2.74,2.77,2.79,2.73,-1.22,-30.89%,273,"11,214",+123,61.67%,0.1120,Call,"12:33 ET"
330.00,-44.27%,2.20,2.23,2.25,2.24,-0.86,-27.74%,375,"2,669",+7,62.40%,0.0930,Call,"12:53 ET"
340.00,-48.64%,1.78,1.80,1.82,1.80,-0.78,-30.23%,34,506,+24,62.95%,0.0767,Call,"12:51 ET"
350.00,-53.01%,1.44,1.46,1.48,1.49,-0.53,-26.24%,110,"4,211",+26,63.58%,0.0636,Call,"12:09 ET"
360.00,-57.38%,1.17,1.19,1.22,1.21,-0.54,-30.86%,24,"3,585",unch,64.42%,0.0535,Call,"12:14 ET"
370.00,-61.76%,0.96,0.98,1.00,1.00,-0.32,-24.24%,147,"1,428",-4,65.14%,0.0449,Call,"12:42 ET"
380.00,-66.13%,0.79,0.80,0.82,0.82,-0.33,-28.70%,9,"1,025",unch,65.72%,0.0375,Call,"12:26 ET"
390.00,-70.50%,0.65,0.67,0.68,0.65,-0.25,-27.78%,93,"14,424",-33,65.90%,0.0304,Call,"12:53 ET"
400.00,-74.87%,0.53,0.55,0.56,0.55,-0.25,-31.25%,105,"1,459",+20,66.71%,0.0260,Call,"12:30 ET"
410.00,-79.24%,0.44,0.45,0.47,0.45,-0.30,-40.00%,12,294,+17,67.14%,0.0216,Call,"12:30 ET"
420.00,-83.61%,0.36,0.38,0.40,0.40,-0.10,-20.00%,18,303,+2,68.30%,0.0192,Call,"10:49 ET"
430.00,-87.99%,0.29,0.31,0.33,0.29,-0.22,-43.14%,2,124,+23,67.56%,0.0145,Call,"10:47 ET"
440.00,-92.36%,0.24,0.26,0.28,0.25,-0.27,-51.92%,87,181,+2,68.35%,0.0125,Call,"11:44 ET"
450.00,-96.73%,0.20,0.22,0.23,0.21,-0.10,-32.26%,135,"1,623",+1,68.86%,0.0106,Call,"12:38 ET"
460.00,-101.10%,0.16,0.18,0.20,0.17,-0.08,-32.00%,2,128,unch,69.05%,0.0088,Call,"12:25 ET"
470.00,-105.47%,0.13,0.15,0.17,0.15,-0.06,-28.57%,3,"2,186",unch,69.89%,0.0077,Call,"10:49 ET"
480.00,-109.85%,0.10,0.12,0.14,0.13,-0.03,-18.75%,59,"1,023",+50,70.53%,0.0067,Call,"11:53 ET"
25.00,-89.07%,0.00,0.02,0.03,0.02,unch,unch,0,"3,137",unch,192.33%,-0.0005,Put,10/16/25
30.00,-86.88%,0.00,0.01,0.01,0.02,unch,unch,0,741,unch,160.54%,-0.0002,Put,10/16/25
35.00,-84.70%,0.00,0.01,0.01,0.02,unch,unch,0,252,unch,148.34%,-0.0003,Put,10/09/25
40.00,-82.51%,0.00,0.02,0.04,0.01,unch,unch,0,"2,119",-1,155.45%,-0.0009,Put,10/21/25
45.00,-80.33%,0.01,0.03,0.04,0.01,+0.01,unch,2,"1,031",unch,128.63%,-0.0003,Put,"12:37 ET"
50.00,-78.14%,0.01,0.03,0.05,0.01,-0.03,-75.00%,244,"1,033",+5,120.42%,-0.0003,Put,"12:28 ET"
55.00,-75.96%,0.02,0.04,0.06,0.06,unch,unch,10,"1,173",-4,132.73%,-0.0015,Put,"11:04 ET"
60.00,-73.77%,0.03,0.05,0.07,0.04,unch,unch,58,"3,006",+1,119.94%,-0.0011,Put,"11:12 ET"
65.00,-71.58%,0.05,0.06,0.07,0.06,unch,unch,0,"2,959",+15,117.65%,-0.0017,Put,10/21/25
70.00,-69.40%,0.06,0.08,0.09,0.08,unch,unch,0,"5,353",-1,113.61%,-0.0022,Put,10/21/25
75.00,-67.21%,0.08,0.09,0.10,0.09,unch,unch,0,"7,159",+1,109.43%,-0.0027,Put,10/21/25
80.00,-65.03%,0.10,0.12,0.14,0.11,-0.01,-8.33%,36,"11,170",-1,105.78%,-0.0033,Put,"12:19 ET"
85.00,-62.84%,0.13,0.15,0.16,0.13,+0.13,unch,127,"5,407",unch,101.98%,-0.0040,Put,"12:28 ET"
90.00,-60.65%,0.16,0.18,0.19,0.17,+0.17,unch,1,"8,831",unch,99.66%,-0.0052,Put,"11:18 ET"
95.00,-58.47%,0.18,0.20,0.22,0.18,unch,unch,0,"4,575",-10,96.25%,-0.0062,Put,10/21/25
100.00,-56.28%,0.22,0.24,0.26,0.25,+0.02,+8.70%,23,"13,421",-24,93.79%,-0.0078,Put,"12:46 ET"
105.00,-54.10%,0.26,0.28,0.30,0.28,unch,unch,0,"6,759",-1,90.12%,-0.0090,Put,10/21/25
110.00,-51.91%,0.32,0.33,0.35,0.32,unch,unch,6,"7,318",unch,86.85%,-0.0106,Put,"11:10 ET"
115.00,-49.72%,0.38,0.40,0.41,0.40,+0.03,+8.11%,9,"6,161",-7,84.85%,-0.0132,Put,"12:38 ET"
120.00,-47.54%,0.45,0.46,0.48,0.45,+0.01,+2.27%,94,"8,254",+14,81.62%,-0.0152,Put,"12:10 ET"
125.00,-45.35%,0.55,0.56,0.56,0.54,+0.04,+8.00%,21,"6,269",-5,79.70%,-0.0188,Put,"12:28 ET"
130.00,-43.17%,0.64,0.65,0.65,0.65,+0.06,+10.17%,41,"7,361",-24,77.21%,-0.0222,Put,"12:30 ET"
135.00,-40.98%,0.76,0.78,0.79,0.72,+0.02,+2.86%,6,"10,302",-10,75.06%,-0.0267,Put,"11:07 ET"
140.00,-38.80%,0.91,0.93,0.94,0.94,+0.10,+11.90%,22,"6,300",-20,73.25%,-0.0323,Put,"12:50 ET"
145.00,-36.61%,1.09,1.11,1.13,1.20,+0.23,+23.71%,138,"8,633",-86,71.15%,-0.0383,Put,"12:33 ET"
150.00,-34.42%,1.32,1.34,1.36,1.40,+0.27,+23.89%,167,"10,005",-53,69.47%,-0.0461,Put,"12:30 ET"
155.00,-32.24%,1.61,1.63,1.65,1.70,+0.33,+24.09%,56,"3,994",+25,68.02%,-0.0555,Put,"11:29 ET"
160.00,-30.05%,1.97,1.99,2.01,2.04,+0.48,+30.77%,200,"4,264",+1,66.74%,-0.0669,Put,"12:36 ET"
165.00,-27.87%,2.40,2.42,2.44,2.34,+0.46,+24.47%,128,"2,901",-4,65.53%,-0.0801,Put,"12:15 ET"
170.00,-25.68%,2.92,2.95,2.97,3.10,+0.75,+31.91%,90,"2,864",unch,64.47%,-0.0956,Put,"12:31 ET"
175.00,-23.49%,3.55,3.60,3.65,3.75,+0.95,+33.93%,27,"2,572",+27,63.66%,-0.1140,Put,"12:30 ET"
180.00,-21.31%,4.30,4.35,4.40,4.50,+1.20,+36.36%,164,"10,797",+48,62.80%,-0.1343,Put,"12:38 ET"
185.00,-19.12%,5.20,5.25,5.30,5.25,+1.30,+32.91%,112,"1,744",-151,62.11%,-0.1575,Put,"12:48 ET"
190.00,-16.94%,6.20,6.28,6.35,6.35,+1.60,+33.68%,235,"2,770",-31,61.71%,-0.1838,Put,"12:52 ET"
195.00,-14.75%,7.40,7.48,7.55,7.58,+1.69,+28.69%,643,"6,688",+39,60.82%,-0.2109,Put,"12:51 ET"
200.00,-12.56%,8.80,8.88,8.95,8.88,+1.88,+26.86%,"1,714","8,163",+671,60.41%,-0.2415,Put,"12:53 ET"
210.00,-8.19%,12.10,12.18,12.25,12.19,+2.49,+25.67%,"2,067","10,842",+523,59.56%,-0.3079,Put,"12:42 ET"
220.00,-3.82%,16.25,16.33,16.40,16.57,+3.42,+26.01%,408,"2,585",+86,59.03%,-0.3801,Put,"12:51 ET"
230.00,+0.55%,21.20,21.30,21.40,22.20,+4.81,+27.66%,191,"2,597",+81,58.75%,-0.4544,Put,"12:32 ET"
240.00,+4.92%,26.95,27.05,27.15,27.35,+5.05,+22.65%,108,"1,734",+12,58.60%,-0.5281,Put,"12:33 ET"
250.00,+9.29%,33.45,33.55,33.65,33.54,+5.39,+19.15%,152,763,+43,58.59%,-0.5982,Put,"12:47 ET"
260.00,+13.67%,40.60,40.70,40.80,40.35,+6.15,+17.98%,9,227,+4,58.74%,-0.6619,Put,"12:04 ET"
270.00,+18.04%,48.25,48.48,48.70,46.40,+3.82,+8.97%,1,110,unch,59.14%,-0.7187,Put,"10:31 ET"
280.00,+22.41%,56.40,56.68,56.95,55.50,+3.63,+7.00%,115,277,-5,59.49%,-0.7685,Put,"12:18 ET"
290.00,+26.78%,65.00,65.28,65.55,65.24,+8.19,+14.36%,4,138,+27,59.78%,-0.8122,Put,"11:34 ET"
300.00,+31.15%,73.90,74.18,74.45,74.14,+9.03,+13.87%,2,304,+1,60.22%,-0.8489,Put,"11:34 ET"
310.00,+35.53%,83.05,83.40,83.75,83.25,+83.25,unch,1,193,unch,60.39%,-0.8813,Put,"11:23 ET"
320.00,+39.90%,92.40,92.75,93.10,90.15,unch,unch,0,78,unch,61.77%,-0.9030,Put,10/17/25
330.00,+44.27%,101.95,102.28,102.60,90.67,unch,unch,0,85,unch,62.46%,-0.9230,Put,10/20/25
340.00,+48.64%,111.10,111.93,112.75,99.90,unch,unch,0,71,unch,63.20%,-0.9416,Put,10/20/25
350.00,+53.01%,120.75,121.63,122.50,109.40,unch,unch,0,49,unch,63.43%,-0.9599,Put,10/20/25
360.00,+57.38%,130.60,131.45,132.30,129.65,unch,unch,0,32,unch,64.10%,-0.9696,Put,10/17/25
370.00,+61.76%,140.70,141.45,142.20,129.39,unch,unch,0,146,unch,67.27%,-0.9704,Put,10/20/25
380.00,+66.13%,150.30,151.33,152.35,176.78,unch,unch,0,0,unch,67.54%,-0.9835,Put,10/06/25
390.00,+70.50%,160.25,161.30,162.35,224.05,unch,unch,0,0,unch,69.63%,-0.9852,Put,07/25/25
400.00,+74.87%,170.25,171.30,172.35,0.00,unch,unch,0,0,unch,72.43%,-0.9854,Put,N/A
410.00,+79.24%,180.35,181.35,182.35,199.22,unch,unch,0,1,unch,76.75%,-0.9836,Put,10/07/25
420.00,+83.61%,190.25,191.35,192.45,0.00,unch,unch,0,0,unch,79.41%,-0.9838,Put,N/A
430.00,+87.99%,200.25,201.35,202.45,0.00,unch,unch,0,0,unch,82.01%,-0.9841,Put,N/A
440.00,+92.36%,210.25,211.30,212.35,0.00,unch,unch,0,0,unch,82.88%,-0.9862,Put,N/A
450.00,+96.73%,220.30,221.33,222.35,0.00,unch,unch,0,0,unch,86.19%,-0.9852,Put,N/A
460.00,+101.10%,230.25,231.30,232.35,0.00,unch,unch,0,0,unch,87.72%,-0.9878,Put,N/A
470.00,+105.47%,240.25,241.30,242.35,0.00,unch,unch,0,0,unch,90.06%,-0.9879,Put,N/A
480.00,+109.85%,250.25,251.28,252.30,243.70,+2.45,+1.02%,3,3,+3,91.30%,-0.9888,Put,"09:40 ET"
"Downloaded from Barchart.com as of 10-22-2025 12:27pm CDT"
