Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,Time
58.50,+71.74%,147.60,149.25,150.90,132.20,unch,unch,0,457,unch,116.62%,0.9954,Call,10/13/25
59.00,+71.50%,147.10,148.75,150.40,130.00,unch,unch,0,450,unch,115.52%,0.9954,Call,10/27/25
59.50,+71.26%,146.60,148.25,149.90,124.70,unch,unch,0,873,unch,114.44%,0.9955,Call,09/29/25
60.00,+71.02%,147.05,147.75,148.45,147.68,+5.88,+4.15%,904,"7,950",-31,106.84%,0.9969,Call,10/29/25
60.50,+70.78%,145.60,147.25,148.90,125.11,unch,unch,0,548,unch,112.27%,0.9956,Call,10/24/25
61.00,+70.54%,145.10,146.75,148.40,147.42,+26.04,+21.45%,41,"1,199",unch,140.53%,0.9861,Call,10/29/25
62.00,+70.05%,145.00,145.78,146.55,145.72,+25.30,+21.01%,840,"3,125",unch,106.39%,0.9964,Call,10/29/25
63.00,+69.57%,143.15,144.80,146.45,120.25,unch,unch,0,"1,614",unch,110.79%,0.9949,Call,10/15/25
64.00,+69.09%,142.15,143.80,145.45,148.02,+11.69,+8.57%,1,"3,649",+1,108.77%,0.9950,Call,10/29/25
65.00,+68.61%,142.10,142.80,143.50,135.23,unch,unch,0,"4,410",-80,106.76%,0.9951,Call,10/28/25
66.00,+68.12%,140.20,141.83,143.45,125.00,unch,unch,0,"1,383",unch,106.56%,0.9947,Call,10/27/25
67.00,+67.64%,140.05,140.80,141.55,113.70,unch,unch,0,"2,169",unch,102.80%,0.9953,Call,10/21/25
68.00,+67.16%,139.10,139.85,140.60,141.51,+13.35,+10.42%,1,"8,521",unch,104.40%,0.9944,Call,10/29/25
69.00,+66.67%,138.10,138.83,139.55,142.85,+17.97,+14.39%,2,"6,150",unch,100.79%,0.9951,Call,10/29/25
70.00,+66.19%,137.15,138.50,139.85,138.04,+4.81,+3.61%,800,"10,725",-416,110.69%,0.9910,Call,10/29/25
71.00,+65.71%,136.10,136.85,137.60,109.89,unch,unch,0,"5,278",unch,98.82%,0.9948,Call,10/15/25
72.00,+65.22%,135.15,135.90,136.65,110.66,unch,unch,0,"2,389",unch,100.22%,0.9938,Call,10/14/25
73.00,+64.74%,134.15,134.88,135.60,135.09,+25.49,+23.26%,800,"5,843",unch,107.63%,0.9903,Call,10/29/25
74.00,+64.26%,132.30,133.95,135.60,108.05,unch,unch,0,"1,356",unch,99.57%,0.9930,Call,10/23/25
75.00,+63.78%,132.25,132.93,133.60,132.67,+8.67,+6.99%,13,"4,291",-1,96.48%,0.9936,Call,10/29/25
76.00,+63.29%,130.30,131.95,133.60,105.41,unch,unch,0,"1,562",unch,96.21%,0.9932,Call,10/15/25
77.00,+62.81%,130.20,130.93,131.65,106.20,unch,unch,0,"4,728",unch,93.11%,0.9939,Call,10/15/25
78.00,+62.33%,128.35,130.00,131.65,131.90,+26.25,+24.85%,1,"2,832",unch,95.53%,0.9923,Call,10/29/25
79.00,+61.84%,127.35,129.00,130.65,132.50,+28.23,+27.07%,1,"1,657",unch,93.93%,0.9924,Call,10/29/25
80.00,+61.36%,127.30,128.60,129.90,127.38,+5.43,+4.45%,24,"35,120",-23,111.68%,0.9820,Call,10/29/25
81.00,+60.88%,126.30,127.15,128.00,101.20,unch,unch,0,"13,411",unch,97.24%,0.9895,Call,10/22/25
82.00,+60.39%,125.30,126.05,126.80,101.00,unch,unch,0,"2,073",unch,91.65%,0.9916,Call,10/21/25
83.00,+59.91%,124.30,125.03,125.75,117.00,unch,unch,0,"2,547",-1,88.95%,0.9923,Call,10/28/25
84.00,+59.43%,122.45,124.08,125.70,109.45,unch,unch,0,"3,753",unch,89.76%,0.9913,Call,10/28/25
85.00,+58.95%,121.55,122.70,123.85,118.25,unch,unch,0,"3,077",-86,0.00%,0.0000,Call,10/28/25
86.00,+58.46%,121.35,122.10,122.85,98.05,unch,unch,0,"5,020",unch,87.91%,0.9909,Call,10/17/25
87.00,+57.98%,120.35,121.07,121.80,121.70,+24.49,+25.19%,4,"3,214",unch,103.54%,0.9798,Call,10/29/25
88.00,+57.50%,119.20,120.40,121.60,119.00,+8.50,+7.69%,2,"4,735",unch,95.03%,0.9848,Call,10/29/25
89.00,+57.01%,117.50,119.15,120.80,110.89,unch,unch,0,"1,403",-1,85.68%,0.9900,Call,10/28/25
90.00,+56.53%,117.45,118.73,120.00,118.05,+7.40,+6.69%,60,"12,448",-1,79.89%,0.9926,Call,10/29/25
91.00,+56.05%,115.55,117.35,119.15,115.84,+4.11,+3.68%,2,"1,519",unch,89.57%,0.9857,Call,10/29/25
92.00,+55.56%,115.45,116.20,116.95,111.36,unch,unch,0,"8,656",+24,83.46%,0.9891,Call,10/28/25
93.00,+55.08%,114.45,115.20,115.95,110.37,unch,unch,0,"2,144",unch,82.13%,0.9891,Call,10/28/25
94.00,+54.60%,113.45,114.23,115.00,96.35,unch,unch,0,"4,710",unch,81.70%,0.9886,Call,10/13/25
95.00,+54.12%,112.55,113.82,115.10,113.15,+7.14,+6.74%,31,"4,750",-8,77.57%,0.9906,Call,10/29/25
96.00,+53.63%,111.50,112.25,113.00,116.50,+9.21,+8.58%,3,"2,834",+7,79.97%,0.9882,Call,10/29/25
97.00,+53.15%,109.65,111.30,112.95,83.45,unch,unch,0,"1,588",unch,80.31%,0.9870,Call,10/22/25
98.00,+52.67%,108.65,110.30,111.95,88.45,unch,unch,0,"2,726",unch,79.06%,0.9871,Call,10/24/25
99.00,+52.18%,108.55,109.28,110.00,113.00,+10.00,+9.71%,58,"3,217",+16,77.02%,0.9878,Call,10/29/25
100.00,+51.70%,107.60,108.85,110.10,109.00,+6.70,+6.55%,"1,263","85,869","+3,764",91.84%,0.9731,Call,10/29/25
101.00,+51.22%,106.60,107.43,108.25,110.99,+19.88,+21.82%,50,"2,971",unch,78.94%,0.9842,Call,10/29/25
102.00,+50.73%,105.60,106.35,107.10,105.80,+28.40,+36.69%,1,"2,658",unch,75.68%,0.9861,Call,10/29/25
103.00,+50.25%,104.65,105.43,106.20,106.40,+8.60,+8.79%,30,"2,915",unch,76.56%,0.9843,Call,10/29/25
104.00,+49.77%,103.65,104.43,105.20,107.80,+8.80,+8.89%,1,"2,480",-2,75.38%,0.9843,Call,10/29/25
105.00,+49.29%,102.75,103.45,104.15,102.11,+4.61,+4.73%,54,"8,128",+16,74.86%,0.9837,Call,10/29/25
106.00,+48.80%,100.80,102.45,104.10,102.14,+6.64,+6.95%,8,"1,212",-3,63.00%,0.9928,Call,10/29/25
107.00,+48.32%,99.80,101.48,103.15,102.98,+6.23,+6.44%,1,"1,716",-85,96.24%,0.9563,Call,10/29/25
108.00,+47.84%,100.00,101.05,102.10,100.62,+7.12,+7.61%,3,"1,384",+37,75.35%,0.9796,Call,10/29/25
109.00,+47.35%,99.00,100.05,101.10,102.20,+17.18,+20.21%,1,"5,214",unch,81.87%,0.9705,Call,10/29/25
110.00,+46.87%,98.05,99.13,100.20,98.00,+4.00,+4.26%,26,"19,933",-24,81.85%,0.9689,Call,10/29/25
111.00,+46.39%,97.05,98.13,99.20,101.75,+8.44,+9.05%,1,"3,528",unch,80.72%,0.9687,Call,10/29/25
112.00,+45.90%,96.10,97.18,98.25,97.68,+6.18,+6.75%,2,"2,015",-5,86.79%,0.9588,Call,10/29/25
113.00,+45.42%,95.10,96.20,97.30,95.28,+21.28,+28.76%,30,"2,195",unch,60.76%,0.9893,Call,10/29/25
114.00,+44.94%,94.15,95.28,96.40,85.76,unch,unch,0,"4,253",unch,79.45%,0.9651,Call,10/28/25
115.00,+44.46%,93.15,94.23,95.30,92.11,+4.66,+5.33%,55,"18,137",unch,77.67%,0.9658,Call,10/29/25
116.00,+43.97%,92.15,93.23,94.30,92.15,+11.22,+13.86%,18,"2,177",-2,50.72%,0.9952,Call,10/29/25
117.00,+43.49%,91.25,92.33,93.40,83.00,unch,unch,0,"4,714",-1,76.81%,0.9634,Call,10/28/25
118.00,+43.01%,90.25,91.33,92.40,90.53,+15.97,+21.42%,14,"4,740",unch,62.61%,0.9819,Call,10/29/25
119.00,+42.52%,89.30,90.43,91.55,73.94,unch,unch,0,"1,596",unch,75.91%,0.9609,Call,10/27/25
120.00,+42.04%,88.30,89.40,90.50,87.03,+3.95,+4.75%,385,"54,883",-244,74.53%,0.9610,Call,10/29/25
121.00,+41.56%,87.35,88.43,89.50,87.86,+5.06,+6.11%,180,"3,002",-3,65.93%,0.9728,Call,10/29/25
122.00,+41.07%,86.35,87.45,88.55,90.25,+14.23,+18.72%,10,"2,232",unch,73.02%,0.9594,Call,10/29/25
123.00,+40.59%,85.40,86.50,87.60,90.28,+9.20,+11.35%,21,"2,977",-9,72.56%,0.9581,Call,10/29/25
124.00,+40.11%,84.45,85.50,86.55,85.00,+4.75,+5.92%,2,"3,042",-6,65.09%,0.9688,Call,10/29/25
125.00,+39.63%,83.45,84.40,85.35,84.85,+6.48,+8.27%,328,"20,097",-26,74.23%,0.9506,Call,10/29/25
126.00,+39.14%,82.50,83.58,84.65,83.07,+8.12,+10.83%,34,"3,944",-2,64.10%,0.9667,Call,10/29/25
127.00,+38.66%,81.55,82.60,83.65,81.85,+4.08,+5.25%,4,"2,605",-1,59.83%,0.9723,Call,10/29/25
128.00,+38.18%,80.55,81.65,82.75,80.75,+4.95,+6.53%,16,"2,881",-1,57.18%,0.9752,Call,10/29/25
129.00,+37.69%,79.60,80.68,81.75,80.52,+4.52,+5.95%,5,"2,952",-1,66.66%,0.9555,Call,10/29/25
130.00,+37.21%,78.65,79.68,80.70,79.60,+4.60,+6.13%,305,"29,091",-147,66.53%,0.9534,Call,10/29/25
132.00,+36.24%,76.75,77.85,78.95,76.00,+4.57,+6.40%,7,"6,008",-7,67.06%,0.9473,Call,10/29/25
134.00,+35.28%,74.85,75.63,76.40,76.81,+7.44,+10.73%,232,"4,689",-4,62.87%,0.9511,Call,10/29/25
135.00,+34.80%,73.90,74.93,75.95,74.55,+6.35,+9.31%,486,"18,906",+53,61.14%,0.9524,Call,10/29/25
136.00,+34.31%,72.90,73.95,75.00,73.73,+6.22,+9.21%,165,"4,480",-2,61.99%,0.9478,Call,10/29/25
138.00,+33.35%,71.10,72.10,73.10,71.70,+6.35,+9.72%,225,"5,220",-11,59.79%,0.9475,Call,10/29/25
140.00,+32.38%,69.15,69.85,70.55,69.80,+6.30,+9.92%,614,"65,300",-176,58.85%,0.9441,Call,10/29/25
142.00,+31.41%,67.25,68.20,69.15,68.25,+8.07,+13.41%,18,"3,444",-9,60.79%,0.9330,Call,10/29/25
144.00,+30.45%,65.40,66.43,67.45,64.50,+4.50,+7.50%,3,"6,324",-14,60.23%,0.9279,Call,10/29/25
145.00,+29.97%,64.55,65.53,66.50,64.88,+5.36,+9.01%,175,"20,371",-157,54.94%,0.9392,Call,10/29/25
146.00,+29.48%,63.60,64.28,64.95,63.92,+4.25,+7.12%,12,"3,978",+2,54.36%,0.9376,Call,10/29/25
148.00,+28.52%,61.55,62.63,63.70,61.90,+5.56,+9.87%,185,"9,806",-38,52.39%,0.9367,Call,10/29/25
150.00,+27.55%,60.00,60.75,61.50,60.35,+5.95,+10.94%,898,"40,951",-660,54.06%,0.9244,Call,10/29/25
152.00,+26.58%,58.10,59.03,59.95,59.00,+5.52,+10.32%,79,"11,265",+5,56.57%,0.9087,Call,10/29/25
154.00,+25.62%,56.20,57.20,58.20,57.15,+5.02,+9.63%,23,"2,809",+4,55.61%,0.9034,Call,10/29/25
155.00,+25.14%,55.45,55.90,56.35,56.05,+5.63,+11.17%,110,"8,477",-114,54.06%,0.9042,Call,10/29/25
156.00,+24.65%,54.50,55.45,56.40,53.58,+4.39,+8.92%,18,"8,099",-62,55.47%,0.8951,Call,10/29/25
158.00,+23.69%,52.70,53.63,54.55,53.08,+5.23,+10.93%,92,"4,394",-50,51.46%,0.8997,Call,10/29/25
160.00,+22.72%,51.05,51.53,52.00,51.20,+5.48,+11.99%,"1,452","44,467",-610,50.31%,0.8943,Call,10/29/25
162.00,+21.75%,49.30,49.97,50.65,49.50,+4.23,+9.34%,133,"5,040",unch,50.11%,0.8852,Call,10/29/25
164.00,+20.79%,47.60,48.40,49.20,47.41,+4.26,+9.87%,100,"3,566",+58,52.73%,0.8651,Call,10/29/25
165.00,+20.31%,46.75,47.48,48.20,46.95,+5.55,+13.41%,296,"15,625",-17,49.61%,0.8712,Call,10/29/25
166.00,+19.82%,45.75,46.60,47.45,46.14,+5.59,+13.79%,95,"1,942",-7,49.58%,0.8657,Call,10/29/25
167.00,+19.34%,45.00,45.85,46.70,43.35,+2.60,+6.38%,25,"5,625",-20,51.89%,0.8515,Call,10/29/25
168.00,+18.86%,44.20,45.03,45.85,44.45,+5.45,+13.97%,49,"3,534",-9,49.13%,0.8560,Call,10/29/25
169.00,+18.37%,43.40,44.15,44.90,42.00,+3.75,+9.80%,227,"2,909",-10,51.25%,0.8422,Call,10/29/25
170.00,+17.89%,42.60,43.30,44.00,43.30,+5.95,+15.93%,"1,083","35,615",-390,50.90%,0.8374,Call,10/29/25
171.00,+17.41%,41.75,42.55,43.35,41.95,+5.45,+14.93%,165,"2,162",-47,48.44%,0.8404,Call,10/29/25
172.00,+16.92%,40.95,41.75,42.55,39.94,+4.24,+11.88%,58,"3,581",+1,50.76%,0.8256,Call,10/29/25
173.00,+16.44%,40.10,40.88,41.65,40.25,+5.20,+14.84%,70,"6,541",-2,47.75%,0.8303,Call,10/29/25
174.00,+15.96%,39.35,40.18,41.00,39.51,+5.43,+15.93%,93,"2,172",-2,47.82%,0.8234,Call,10/29/25
175.00,+15.48%,38.60,39.30,40.00,38.84,+5.14,+15.25%,723,"24,779",+275,48.12%,0.8156,Call,10/29/25
176.00,+14.99%,36.75,38.05,39.35,38.81,+5.96,+18.14%,61,"4,724",-6,50.77%,0.7995,Call,10/29/25
177.00,+14.51%,37.00,37.83,38.65,37.16,+5.14,+16.05%,71,"3,918",-4,47.34%,0.8047,Call,10/29/25
178.00,+14.03%,36.25,36.60,36.95,35.00,+3.74,+11.96%,128,"5,514",-140,47.95%,0.7954,Call,10/29/25
179.00,+13.54%,35.55,36.33,37.10,34.60,+4.10,+13.44%,51,"7,519",-21,49.51%,0.7830,Call,10/29/25
180.00,+13.06%,34.75,35.38,36.00,35.20,+5.35,+17.92%,"2,456","61,408","-1,566",48.03%,0.7807,Call,10/29/25
181.00,+12.58%,34.00,34.78,35.55,34.13,+4.90,+16.76%,157,"5,316",-27,46.75%,0.7777,Call,10/29/25
182.00,+12.09%,33.30,33.60,33.90,33.43,+5.13,+18.13%,"4,238","10,854",-56,46.74%,0.7702,Call,10/29/25
183.00,+11.61%,32.60,33.35,34.10,32.50,+4.75,+17.12%,357,"5,872",-18,48.75%,0.7562,Call,10/29/25
184.00,+11.13%,30.80,32.08,33.35,32.13,+5.03,+18.56%,142,"3,576",+37,46.96%,0.7541,Call,10/29/25
185.00,+10.65%,31.20,31.48,31.75,31.50,+4.95,+18.64%,"1,423","19,954","-1,449",47.09%,0.7458,Call,10/29/25
186.00,+10.16%,30.55,31.18,31.80,30.90,+5.12,+19.86%,367,"4,022",+130,47.28%,0.7374,Call,10/29/25
187.00,+9.68%,29.85,30.53,31.20,30.60,+5.46,+21.72%,245,"4,288",-41,48.36%,0.7265,Call,10/29/25
188.00,+9.20%,29.15,29.48,29.80,29.44,+4.94,+20.16%,328,"4,595",-19,46.76%,0.7228,Call,10/29/25
189.00,+8.71%,28.50,29.20,29.90,28.37,+2.95,+11.61%,300,"2,898",-45,47.95%,0.7117,Call,10/29/25
190.00,+8.23%,27.80,28.10,28.40,28.20,+4.78,+20.41%,"2,749","28,110",-905,46.82%,0.7062,Call,10/29/25
191.00,+7.75%,27.20,27.85,28.50,27.44,+4.69,+20.62%,225,"4,134",-100,46.40%,0.6989,Call,10/29/25
192.00,+7.26%,26.60,27.25,27.90,26.65,+4.35,+19.51%,313,"2,562",-33,45.87%,0.6916,Call,10/29/25
193.00,+6.78%,25.95,26.60,27.25,26.21,+4.56,+21.06%,223,"4,474",-136,46.34%,0.6821,Call,10/29/25
194.00,+6.30%,25.35,25.98,26.60,25.55,+4.50,+21.38%,131,"7,829",-193,46.14%,0.6739,Call,10/29/25
195.00,+5.82%,24.70,24.95,25.20,24.90,+4.44,+21.70%,"2,053","13,566",-150,45.95%,0.6656,Call,10/29/25
200.00,+3.40%,22.00,22.13,22.25,22.00,+4.20,+23.60%,"12,314","74,178","-3,760",45.62%,0.6220,Call,10/29/25
205.00,+0.99%,19.30,19.45,19.60,19.25,+3.83,+24.84%,"6,490","28,849",+397,45.64%,0.5773,Call,10/29/25
210.00,-1.43%,16.85,17.03,17.20,17.00,+3.65,+27.34%,"18,554","31,038","+2,938",45.32%,0.5324,Call,10/29/25
